timestamp,category_id,topic_id,topic_title,message_number,message_author,btc_address
1499372082,5,2006981,I want to invest $200K to set up an exchange and I need your help,2,Deathwing,1DeathyY8eDGjxoqpXHeSPUrPZfT772EKB
1499373478,5,2006981,I want to invest $200K to set up an exchange and I need your help,3,adzino,1EsbjqNqCWLckzFBNHkDMFhR3SwG6YsKKV
1499374159,5,2006981,I want to invest $200K to set up an exchange and I need your help,7,cakir,1JuMNQcRZGXp7wJj1DMciaMerfs95X2Nqa
1499374771,5,2006981,I want to invest $200K to set up an exchange and I need your help,8,Hydrogen,1G15u8zAxkGMR6KKXLFoRkBh37W2gsTWTD
1499374996,5,2006981,I want to invest $200K to set up an exchange and I need your help,9,2Pac,1z5AZuV899c2jCnSSSGSqDqZttoXQKqBP
1499376264,5,2006981,I want to invest $200K to set up an exchange and I need your help,12,ralle14,1RaLk3SNWLjjrD6VNGCNzLM4N7JjhHwhp
1499376486,5,2006981,I want to invest $200K to set up an exchange and I need your help,14,boldar,1FA94FCb4waB9o6rcUNLxtzztTqu5M3yPM
1499377832,5,2006981,I want to invest $200K to set up an exchange and I need your help,15,Odd Thomas,1HM6TsUHH9nNqpX37PKsShrFHorxACkD47
1499378847,5,2006981,I want to invest $200K to set up an exchange and I need your help,17,slaman29,1Pr7SHPQ565RoDxuy33kQ7AwsKYzR9C5Fs
1500321167,5,2006981,I want to invest $200K to set up an exchange and I need your help,31,xskl0,15x9zsJWyheWRFCbuBJG8fXVmcr9kztsSw
1500730159,5,2006981,I want to invest $200K to set up an exchange and I need your help,33,layoutph,1GgXzTv8MdsHwSvCTvvh1czKqpTVcDXPjb
1500747208,5,2006981,I want to invest $200K to set up an exchange and I need your help,34,Qartersa,1HMMkZhWZmE7UYjKeWQ4yXcNDoPTHAQDEZ
1504756461,5,2150873,need help from trusted people,30,Fox201,37eg3QQYWxTWNYYeK2CvkGkLihwY3gZuaM
1295047103,5,2555,CoinPal beta - Buying bitcoins with PayPal,41,mndrix,1MCwBbhNGp5hRm5rC1Aims2YFRe2SXPYKt
1295047103,5,2555,CoinPal beta - Buying bitcoins with PayPal,41,mndrix,18ExgbBUDPHyuUepNFC95e6u6JdV2gnDcV
1295968060,5,2555,CoinPal beta - Buying bitcoins with PayPal,61,mndrix,19ppPM6Vu4DNPbqtvDT5fUvKB1MwmQu7aB
