1HfXSbQDfygMCHUr1oqTvTB5QwLM2n9NXX,2
1BnXhekkFKF13utCyB5cy4DeK5K8b86mAh,1
1NwpceSdSGbKmLmJN4ZLeiBBoT2bpUaKDZ,3
1DdQqHWZnz6mBYw6dRVVTkQGybuB3GkjtE,5
18wKkhK6gFM27MvPtqPCVjksPnPfzDV4cy,3
18DyRaRCJdRL3hAiJSYXPzZjG3cgLvgRw7,-157
1Fh55vjPnHuynCaYr3vWV9JxEYhJvm74MP,-20
1HPJPMUrfgFwJPnbWrWrU3exg1kmi5oeYQ,-44
12ywr3p72pPArKAzqVGsJFM34Z6bbMdhYv,-2
164Rb4TARunbmtcCCJBsd7VgicyYDi6wDZ,-10
1K7fJcaGKopzn8yu6mQPybK9ykHbJWRjPE,1
1jtjY1t5QyEa7rnAWXWwVydcZqYs1nAa3,7
1GLzPPEJxFa6J52a287StaSds3pUuf1QSU,1
1J5GEjCRSvmf9v2bC5zryXU6pHrVRvuEqd,1
1Jqz89jjrD9sXjg4mUZaXXByViLEMsLyu,1
1NdZbhNTU9ojCW65ToV6x52EAz9PJEBucv,-11
126sk7iyVPjyVQGgdbNpWvDFc67YxJgKjL,2
16cv6gTgN2U8DfKxAg7m4pDhChxQPvqJoK,1
1LRpsUKw2QYH4smouzz4dih7dtv1e9b7zY,-10
1KP9brmuSk4SbaPFxfipRJfewc1zvGo1gj,0
17kAbXus5hP6hR6snY6r52W9PNiBu6HLZo,8
1JZMeBdsRXJQdH7hwksstCJLww2Qs4JhDD,-14
1JFNNEtSiU9GnAA9A1DMJnTsL9yBt7kpPZ,6
19hLaU4hmd3kTWLscB7PtiP9aEhiMsnjEN,-4
1E9Jp2Ez5nTwLudLs7a1ZnCBKiESqThZtd,3
16vya1in7ZXUksxLpRnatSewxGJ9LGzeME,46
12NaJKDbXyBbe6mAosGVtXqsjNwdHFJF6B,3
1G7PkJ8jHgjNBZWNxU8bdrJqjHvrfzW8uW,1
1E8ydXZKFLG6zHdcZoRjRT4m4AYgYYjyAi,1
13xZ93HKkiJsRUAWqusHRLpE6dGsnEWzrn,3
1DLmEnM2UL9Ji1zsWwGmcBoeywnfF1Ar8E,2
1FeZXDcxSzdfCN1Svz8CSX5PbJDh2neaNT,10
13ujpBcrJKaDPGVqXYF6uHx1P91LaYQMVz,1
1BitsG13wubXrXA1mmUGC4PN5MsUD8ULVZ,-1
12higDjoCCNXSA95xZMWUdPvXNmkAduhWv,2
1KfucF1r3HQcrFgE1HsWTyr2NoNfW5Zh2t,1
12Fv4kw4jqUGtvi3ZTDBYfvPsPZ1BCe5i,2
1EzXL7SiLPSTnhsv2C8s118DMceFadjoxk,-2
1MyWssMFfXRRjVrMBZ4VZcuWPFTYNhnGjx,3
1K6rcPwyTi4qXjbM63zQs81h35yfs4mFxk,5
1Mht7sLBh3t1XbMP3aZzYQCynJumABuCPT,7
1D161r3DGRePQy97sGQaN6mtbWEjz5KG42,27
1Hcgxcsdu6gPUJzmpNeVdt8d7NxdbMQUz6,-10
1NeWArjoPgAXeZxXo9U699mqgqQ6sLdYFB,1
1F6japiupoWYdaf3CFbHQggX5C1gaTgjoT,7
1KqgnKNWKSHJLg6ncvS7PC58c1pBGVUxDn,19
1sharpSrMinBN9bdp6StxNqh3ggEyRbYh,30
16LyYPyPn8FtoetQk9RnzUQM4AEuE5KNZ8,4
1LzWUfYAspmxMhSvYpM14TvihF25Mniyw3,4
1AniHcBGniKv5exXybwnMmanSGNyVYesiu,13
1Grqcp4cnaeZxcsVGaHfBDuso5SwnCKdgX,1
1At82WWbtqpSjCNro2KQDmTW7JtrBbWpz8,-8
14huaiQ42SX6LCqRZCY8t1YVWDrnDctuS2,1
1Lay2HKvXM6MtLab2GvwmDs9KfoshkP4A6,1
17Xsz7GNzq2cxqvyTXWJ1svmbyTJqQAZUD,4
1AQBG2A8qyu5fisZa5cHqBKYZTEvfHVD9Z,13
19muEP8JrPRSVbF1gzCtznttyASB9BxN4G,1
1BoQ4jiMLR2JFQb3EYvpqtp63vSqD6xXkh,1
1DrL3o6ZMAGttc96SPxqTo2yooq52P62kf,50
1M75XfLuQRHnYqcnxXHhMBG6z673tSeCH1,1
1KuC9Ep7SYgJCBUhd5B67bwWiUeqAXw3SP,14
1GoodBTCiGyd1J1LkDhCThfTHG8n9WJnNn,-60
13496tTyjR7m2qpM7fFydvV273UxWJzbii,1
1NAVDzSYPLDGsU6BzstDeYQbeuUGuB3URT,2
17JwR3RJf544DpAE5neHFFs14cTadXBg82,2
1CDAWwBQhs7BeWEkcaL9cnuUzTaqMsUZm5,17
17c3LLoNy7z36PjhYkuX399pemJwGi8PhX,1
1HbfBBE16zj7KQoyEAQi7tniCTPdHL6CgP,7
1NUa2hqZUiEErBR3r2xATYiiWFnJh2RZ7k,-130
13N4WGTfLa2VS4C6Zt9M7z1VbPpVtu2xYY,1
1P1wACdKASqhLNJW7dyXyu4V3i6QkrCHAh,-166
1F9vgUY7eDHrasJszGAKEMSrWjDsTdHCbP,-3
1E9ZytovECwDvsECEdrLwgtbeLtY2NUchx,20
1J3uL9QQFZoXGqPSc3JKuho7xuSGhEJ1bJ,1
1FhTfHZ9Jm1fsjySM2pAVNvUWisYdsCraz,3
1CUW4NNZXN2W9DwYp4t2Ft4RTU2CTxD23N,1
16vxqFzQqkzGvAFbGYttXdDsSDEe5uQfaA,7
1PKyq6aMKcCwn8cmb9Jc5SkNydLsQb5n7K,1
125hZgEw6MuuyyeMVgRJRVcpiog1NiSruq,13
1K337nGVbauy929uwU9PLAtUTinqanrm7S,61
