b'1HfXSbQDfygMCHUr1oqTvTB5QwLM2n9NXX',b'2'
b'1BnXhekkFKF13utCyB5cy4DeK5K8b86mAh',b'1'
b'1NwpceSdSGbKmLmJN4ZLeiBBoT2bpUaKDZ',b'3'
b'1DdQqHWZnz6mBYw6dRVVTkQGybuB3GkjtE',b'5'
b'18wKkhK6gFM27MvPtqPCVjksPnPfzDV4cy',b'3'
b'18DyRaRCJdRL3hAiJSYXPzZjG3cgLvgRw7',b'-157'
b'1Fh55vjPnHuynCaYr3vWV9JxEYhJvm74MP',b'-20'
b'1HPJPMUrfgFwJPnbWrWrU3exg1kmi5oeYQ',b'-44'
b'12ywr3p72pPArKAzqVGsJFM34Z6bbMdhYv',b'-2'
b'164Rb4TARunbmtcCCJBsd7VgicyYDi6wDZ',b'-10'
b'1K7fJcaGKopzn8yu6mQPybK9ykHbJWRjPE',b'1'
b'1jtjY1t5QyEa7rnAWXWwVydcZqYs1nAa3',b'7'
b'1GLzPPEJxFa6J52a287StaSds3pUuf1QSU',b'1'
b'1J5GEjCRSvmf9v2bC5zryXU6pHrVRvuEqd',b'1'
b'1Jqz89jjrD9sXjg4mUZaXXByViLEMsLyub',b'1'
b'1NdZbhNTU9ojCW65ToV6x52EAz9PJEBucv',b'-11'
b'126sk7iyVPjyVQGgdbNpWvDFc67YxJgKjL',b'2'
b'16cv6gTgN2U8DfKxAg7m4pDhChxQPvqJoK',b'1'
b'1LRpsUKw2QYH4smouzz4dih7dtv1e9b7zY',b'-10'
b'1KP9brmuSk4SbaPFxfipRJfewc1zvGo1gj',b'0'
b'17kAbXus5hP6hR6snY6r52W9PNiBu6HLZo',b'8'
b'1JZMeBdsRXJQdH7hwksstCJLww2Qs4JhDD',b'-14'
b'1JFNNEtSiU9GnAA9A1DMJnTsL9yBt7kpPZ',b'6'
b'19hLaU4hmd3kTWLscB7PtiP9aEhiMsnjEN',b'-4'
b'1E9Jp2Ez5nTwLudLs7a1ZnCBKiESqThZtd',b'3'
